Date,EstimatedTransactionVolUSD
2018-05-15,1098113121.7909
2018-05-16,1354020052.00064
2018-05-17,1986371307.18684
2018-05-18,1754540455.70633
2018-05-19,572037902.728045
2018-05-20,505408446.545892
2018-05-21,801652229.73729
2018-05-22,902765750.949497
2018-05-23,1070131558.32802
2018-05-24,997838496.239073
2018-05-25,792961295.780727
2018-05-26,433358755.892997
2018-05-27,402952722.618485
2018-05-28,1030143175.61157
2018-05-29,902651076.805139
2018-05-30,912070535.696193
2018-05-31,829972345.81463
2018-06-01,860640929.266263
2018-06-02,517843929.695078
2018-06-03,489033822.746906
2018-06-04,781951697.703179
2018-06-05,753456738.768419
2018-06-06,777433221.862945
2018-06-07,802888675.612286
2018-06-08,832654128.963577
2018-06-09,512776472.436823
2018-06-10,682579730.014871
2018-06-11,940033430.553514
2018-06-12,858021509.558433
2018-06-13,1043117695.00437
2018-06-14,830479336.511425
2018-06-15,821673290.530401
2018-06-16,393367359.714171
2018-06-17,432811187.163212
2018-06-18,666288186.596133
2018-06-19,717193233.877687
2018-06-20,645432041.721241
2018-06-21,719955333.674926
2018-06-22,877986505.482454
2018-06-23,442469090.403318
2018-06-24,578433361.830994
2018-06-25,683034898.67434
2018-06-26,606059145.748309
2018-06-27,789076623.538903
2018-06-28,717809351.700124
2018-06-29,653028973.089305
2018-06-30,527954257.648101
2018-07-01,994143368.502515
2018-07-02,731075687.462801
2018-07-03,880290625.530195
2018-07-04,662808206.668387
2018-07-05,657272819.38847
2018-07-06,807774959.650024
2018-07-07,370270464.469499
2018-07-08,568366411.075374
2018-07-09,640870760.709387
2018-07-10,840599276.598201
2018-07-11,705107105.975675
2018-07-12,682830180.504232
2018-07-13,674548450.327427
2018-07-14,340074057.30919
2018-07-15,356017920.508622
2018-07-16,747886516.022028
2018-07-17,836942893.445447
2018-07-18,1082676506.45917
2018-07-19,993456134.043958
2018-07-20,813439686.218311
2018-07-21,528574442.087027
2018-07-22,395927691.401284
2018-07-23,936055626.253313
2018-07-24,1154244446.36072
2018-07-25,1009352100.9677
2018-07-26,833867863.521124
2018-07-27,884506563.824998
2018-07-28,516574795.872905
2018-07-29,726532319.015292
2018-07-30,868342350.006917
2018-07-31,916151854.706209
2018-08-01,713806067.823109
2018-08-02,1036673761.09069
2018-08-03,926100823.345805
2018-08-04,478730381.400988
2018-08-05,373453434.330585
2018-08-06,732204363.485113
2018-08-07,664083736.986756
2018-08-08,786985499.891174
2018-08-09,939755086.265862
2018-08-10,760258278.253361
2018-08-11,505204809.916029
