Date,dates_count1
9/14/2017,9717041
9/15/2017,2919828.5
9/16/2017,3180945
9/17/2017,4178211.5
9/18/2017,15258250.5
9/19/2017,16711211
9/20/2017,12964952
9/21/2017,6766321.5
9/22/2017,9118623
9/23/2017,5278023
9/24/2017,4163807
9/25/2017,4359586
9/26/2017,11512673
9/27/2017,5084549.25
9/28/2017,13963360.5
9/29/2017,3436050.5
9/30/2017,11434656.5
10/1/2017,3938231
10/2/2017,12928980
10/3/2017,4073750.5
10/4/2017,3970825
10/5/2017,15046917.75
10/6/2017,8394303
10/7/2017,16950660
10/8/2017,7544364.5
10/9/2017,8778436
10/10/2017,6279304.5
10/11/2017,13677207
10/12/2017,2700252
10/13/2017,31660909.5
10/14/2017,34535752.75
10/15/2017,4233629.5
10/16/2017,19539086.5
10/17/2017,7712645
10/18/2017,14234459
10/19/2017,22086769.5
10/20/2017,18870867.5
10/21/2017,36924741.5
10/22/2017,36111729
10/23/2017,40466779.25
10/24/2017,52685017
10/25/2017,450
10/26/2017,1768017.5
10/27/2017,29187857.5
10/28/2017,38423553
10/29/2017,32034963
10/30/2017,21205297
10/31/2017,29741835.25
11/1/2017,43382031.5
11/2/2017,52513639
11/3/2017,64192538.5
11/4/2017,67970535
11/5/2017,40981868.5
11/6/2017,33563233.5
11/7/2017,54692895
11/8/2017,43713788.5
11/9/2017,66300717.5
11/10/2017,89320891
11/11/2017,108639751.5
11/12/2017,95348937.5
11/13/2017,100668193.5
11/14/2017,104669635
11/15/2017,98607043
11/16/2017,98418373.5
11/17/2017,95056014
11/18/2017,88186627.5
11/19/2017,64145829
11/20/2017,66096660
11/21/2017,69525573
11/22/2017,62145627
11/23/2017,74505418.5
11/24/2017,66973311.5
11/25/2017,71579300.5
11/26/2017,62444667.75
11/27/2017,63219140.5
11/28/2017,88342342.5
11/29/2017,95545350
11/30/2017,96455990.5
12/1/2017,91581897.5
12/2/2017,84808424
12/3/2017,82105509.5
12/4/2017,73228455.5
12/5/2017,90376985
12/6/2017,112002295
12/7/2017,0
12/8/2017,86758292
12/9/2017,73309167
12/10/2017,68720388
12/11/2017,113515111
12/12/2017,123482998
12/13/2017,116371027.8
12/14/2017,111072508.5
12/15/2017,107431722
12/16/2017,109391557
12/17/2017,117971564
12/18/2017,111038553
12/19/2017,110322815.5
12/20/2017,101274362
12/21/2017,107485776
12/22/2017,103591334.3
12/23/2017,118955340
12/24/2017,114044344
12/25/2017,122793825
12/26/2017,112165408
12/27/2017,112603018.5
12/28/2017,117031344
12/29/2017,111120763
12/30/2017,111178797.8
12/31/2017,116185291.5
1/1/2018,120941140
1/2/2018,120468285.5
1/3/2018,113048384
1/4/2018,115027406
1/5/2018,116196570
1/6/2018,103175987.5
1/7/2018,107547392.5
1/8/2018,114127660.5
1/9/2018,135563100
1/10/2018,136438286.5
1/11/2018,136119598.5
1/12/2018,136309254
1/13/2018,130031998
1/14/2018,125225426.5
1/15/2018,119105953.5
1/16/2018,19710053
1/17/2018,117103084.5
1/18/2018,114627168.5
1/19/2018,107693985.5
1/20/2018,107716088
1/21/2018,105096339
1/22/2018,135165999
1/23/2018,100633196.5
1/24/2018,121676612
1/25/2018,115379275.8
1/26/2018,95738472.5
1/27/2018,85303570.5
1/28/2018,86382775
1/29/2018,62113147
1/30/2018,50989779
1/31/2018,51210511
2/1/2018,49198652
2/2/2018,41684817
2/3/2018,50636763.25
2/4/2018,35722561
2/5/2018,16461959
2/6/2018,32046263
2/7/2018,29946791.5
2/8/2018,20819694
2/9/2018,22014972.5
2/10/2018,33942555.5
2/11/2018,27739982.5
2/12/2018,16595970
2/13/2018,28646525.5
2/14/2018,67649819.5
2/15/2018,12217182.5
2/16/2018,6654349
2/17/2018,31392972.5
2/18/2018,36022310.5
2/19/2018,31003220
2/20/2018,14539599.25
2/21/2018,30435492.5
2/22/2018,2263476.5
2/23/2018,10897809
2/24/2018,71290124.5
2/25/2018,597181.5
2/26/2018,18053186
2/27/2018,85985019.5
2/28/2018,35214630
3/1/2018,30912912.5
3/2/2018,13016169.5
3/3/2018,31343937.5
3/4/2018,28006135.5
3/5/2018,27544126.5
3/6/2018,24807547.5
3/7/2018,18675610
3/8/2018,21227779
3/9/2018,14479394.5
3/10/2018,11886884.5
3/11/2018,8917698.5
3/12/2018,4100509.5
3/13/2018,14569842.5
3/14/2018,539878
3/15/2018,467069
3/16/2018,146788.5
3/17/2018,333248
3/18/2018,278577.75
3/19/2018,2895906.5
3/20/2018,291704
3/21/2018,1775226.5
3/22/2018,1555164
3/23/2018,9198584
3/24/2018,1033368.5
3/25/2018,492038.5
3/26/2018,351203.25
3/27/2018,1371129
3/28/2018,651079.5
3/29/2018,331179
3/30/2018,978196
3/31/2018,241680.5
4/1/2018,335834
4/2/2018,819771.5
4/3/2018,606907
4/4/2018,554336.5
4/5/2018,740641.5
4/6/2018,8937238
4/7/2018,2536560.5
4/8/2018,664513
4/9/2018,239655
4/10/2018,424174.5
4/11/2018,199370.5
4/12/2018,890538
4/13/2018,738067.5
4/14/2018,30370369.5
4/15/2018,970222
4/16/2018,5180795.5
4/17/2018,3040133.5
4/18/2018,625105.5
4/19/2018,220960.5
4/20/2018,200577.5
4/21/2018,1023077.5
4/22/2018,427425
4/23/2018,685231.5
4/24/2018,665737
4/25/2018,13666526
4/26/2018,844627.5
4/27/2018,546282.5
4/28/2018,6063289
4/29/2018,2413824.5
4/30/2018,493737.25
5/1/2018,372442
5/2/2018,2969533
5/3/2018,10716464.5
5/4/2018,506771.5
5/5/2018,148240
5/6/2018,1066049.5
5/7/2018,145915
5/8/2018,1003885.25
5/9/2018,317613
5/10/2018,581270.5
5/11/2018,18219723
5/12/2018,4045785.5
5/13/2018,617519.5
5/14/2018,1072914
5/15/2018,215977
5/16/2018,1251746
5/17/2018,4524781.5
5/18/2018,909837.5
5/19/2018,357449.5
5/20/2018,595895
5/21/2018,4479637.5
5/22/2018,1385162.5
5/23/2018,296497.5
5/24/2018,545171.5
5/25/2018,385083.5
5/26/2018,235416
5/27/2018,184914
5/28/2018,520738
5/29/2018,3670831.5
5/30/2018,278333
5/31/2018,387886
6/1/2018,346869.5
6/2/2018,143736.5
6/3/2018,20546036.5
6/4/2018,17188059.5
6/5/2018,15076096
6/6/2018,18677347
6/7/2018,49672714.5
6/8/2018,5692016
6/9/2018,413433
6/10/2018,154024.5
6/11/2018,229005.5
6/12/2018,8211116.25
6/13/2018,11854181
6/14/2018,228739.5
6/15/2018,2845303.5
6/16/2018,1675779.5
6/17/2018,1186490
6/18/2018,183959.5
6/19/2018,972921.5
6/20/2018,3035255.5
6/21/2018,257285
6/22/2018,913655.5
6/23/2018,395218.5
6/24/2018,332936.5
6/25/2018,1850938
6/26/2018,13999842.5
6/27/2018,15190468
6/28/2018,1016334
6/29/2018,304137.25
6/30/2018,1405162.5
7/1/2018,607040.5
7/2/2018,12312031
7/3/2018,29446809
7/4/2018,1277143
7/5/2018,400270.5
7/6/2018,291767
7/7/2018,118151.5
7/8/2018,435568.25
7/9/2018,13094215.5
7/10/2018,9156869
7/11/2018,7129230
7/12/2018,44816892.5
7/13/2018,42406709
7/14/2018,41312051
7/15/2018,7827991
7/16/2018,1289428.25
7/17/2018,9334406.5
7/18/2018,20048730
7/19/2018,6499855
7/20/2018,3462566
7/21/2018,768564.5
7/22/2018,524517.5
7/23/2018,318743
7/24/2018,266018
7/25/2018,5860000.75
7/26/2018,2888934.5
7/27/2018,600755.5
7/28/2018,2478494
7/29/2018,272717
7/30/2018,2714524.5
7/31/2018,908657.5
8/1/2018,815109
8/2/2018,241856.25
8/3/2018,1970589.5
8/4/2018,333934.5
8/5/2018,420184
8/6/2018,11880779
8/7/2018,10306586
8/8/2018,571819.5
8/9/2018,674093.5
8/10/2018,482208.5
8/11/2018,696191.75
8/12/2018,1874151.5
8/13/2018,1823584.5
8/14/2018,7897772.5
8/15/2018,508610
8/16/2018,1786549.5
8/17/2018,202795
8/18/2018,677962.5
8/19/2018,390700.5
8/20/2018,1188191.75
8/21/2018,305551
8/22/2018,3064310.5
8/23/2018,2448779
8/24/2018,2938470
8/25/2018,445814.5
8/26/2018,157359.5
8/27/2018,128153
8/28/2018,1756143.25
8/29/2018,348763
8/30/2018,6992311.5
8/31/2018,2770119
9/1/2018,2824561.5
9/2/2018,395417.5
9/3/2018,808049
9/4/2018,898321
9/5/2018,492136.5
9/6/2018,961771
9/7/2018,762400
9/8/2018,529983
9/9/2018,1602960
9/10/2018,1806111
9/11/2018,1657880
9/12/2018,318342.5
9/13/2018,217377.5
9/14/2018,5568977.25
9/15/2018,269418.5
9/16/2018,845737.5
9/17/2018,1934927
9/18/2018,2209586.5
9/19/2018,3708776
9/20/2018,578233
9/21/2018,1786516.5
9/22/2018,104894
9/23/2018,425676
9/24/2018,367552
9/25/2018,4298039
9/26/2018,3100935.5
9/27/2018,2126406
9/28/2018,588911.5
9/29/2018,554718
9/30/2018,261316
10/1/2018,2307561.5
10/2/2018,3688401.25
10/3/2018,1625912.5
10/4/2018,667320
10/5/2018,14026573.5
10/6/2018,1447706
10/7/2018,798794.5
10/8/2018,869603.5
10/9/2018,870578
10/10/2018,899564
10/11/2018,418494
10/12/2018,11941018.5
10/13/2018,1985158.5
10/14/2018,3188238.5
10/15/2018,3552861.5
10/16/2018,1148993
10/17/2018,1695118
10/18/2018,1702231
10/19/2018,2144477
10/20/2018,1423499.5
