Date,Price,Open,High,Low
2/11/2013,1648.2,1666.5,1668,1643.7
2/12/2013,1648.7,1643.8,1650.4,1642.4
2/13/2013,1644.2,1652.2,1652.3,1640.2
2/14/2013,1634.7,1641.1,1646.9,1632.7
2/15/2013,1608.8,1633.2,1633.9,1599.5
2/16/2013,1603.6,1610,1617,1599.7
2/17/2013,1603.6,1610,1617,1599.7
2/18/2013,1603.6,1610,1617,1599.7
2/19/2013,1603.6,1610,1617,1599.7
2/20/2013,1577.6,1604.7,1606.9,1561.8
2/21/2013,1578.2,1568.5,1581.2,1554.5
2/22/2013,1572.4,1580,1585.4,1572.3
2/23/2013,1586.2,1579.4,1596,1577.7
2/24/2013,1586.2,1579.4,1596,1577.7
2/25/2013,1586.2,1579.4,1596,1577.7
2/26/2013,1615.2,1593.3,1609,1589
2/27/2013,1595.2,1612.8,1612.8,1591.8
2/28/2013,1577.7,1596,1601.6,1575.1
3/1/2013,1571.9,1579.6,1585.6,1566
3/2/2013,1572.1,1580.8,1580.8,1569.7
3/3/2013,1572.1,1580.8,1580.8,1569.7
3/4/2013,1572.1,1580.8,1580.8,1569.7
3/5/2013,1574.6,1577.6,1585.5,1571.4
3/6/2013,1574.6,1577.6,1582.6,1566.8
3/7/2013,1574.8,1580,1583.5,1573.9
3/8/2013,1576.6,1578.6,1581.2,1561.8
3/9/2013,1577.8,1576,1579.7,1576
3/10/2013,1577.8,1576,1579.7,1576
3/11/2013,1577.8,1576,1579.7,1576
3/12/2013,1591.5,1579.8,1595.6,1579.8
3/13/2013,1588.3,1592.3,1596,1585
3/14/2013,1590.6,1585.7,1587.9,1575.7
3/15/2013,1592.5,1590.5,1594.4,1590.2
3/16/2013,1604.6,1605.9,1607.7,1601.6
3/17/2013,1604.6,1605.9,1607.7,1601.6
3/18/2013,1604.6,1605.9,1607.7,1601.6
3/19/2013,1611.3,1613.1,1613.1,1613
3/20/2013,1607.5,1610,1613,1606.2
3/21/2013,1613.8,1612.8,1613,1611.9
3/22/2013,1606.2,1611,1611,1604.1
3/23/2013,1604.6,1607.1,1607.8,1596.1
3/24/2013,1604.6,1607.1,1607.8,1596.1
3/25/2013,1604.6,1607.1,1607.8,1596.1
3/26/2013,1595.8,1595.8,1595.8,1595.8
3/27/2013,1606.2,1598.5,1608.1,1590.3
3/28/2013,1594.8,1604.7,1606.6,1593.6
3/29/2013,1600,1596.8,1600.5,1594.8
3/30/2013,1600,1596.8,1600.5,1594.8
