,Date,Price,MarketCap,BlockSize,GoldPrice,GTrends,HashRate,MempoolCount,MempoolSize,MinningDifficulty,TransactionPerDay,TransactionFee,TransactionVolume_USD
380,2017-06-29,2539.32,41690395783,969722,1295.4,32,5554449.5596900005,17512500.5,17512500.5,711697000000,277315,385.86002411,949979008
381,2017-06-30,2480.84,40735082695,970559,1291.7,27,4245439.1539,17589576.0,17589576.0,711697000000,232242,341.40053758,860273024
382,2017-07-01,2434.55,39980058373,956199,1268.6,24,5448313.58084,6148456.5,6148456.5,711697000000,266611,357.17190559,779913984
383,2017-07-02,2506.47,41167015221,876041,1268.6,25,6622798.79067,6217881.5,6217881.5,708659000000,220431,197.85958294,803747008
384,2017-07-03,2564.06,42118211083,784257,1268.6,28,5988701.03412,4931068.25,4931068.25,708659000000,197001,283.21012118,964112000
385,2017-07-04,2601.64,42740618673,801748,1227.55,25,5988701.03412,14990088.0,14990088.0,708659000000,250732,283.21012118,985516032
386,2017-07-05,2601.99,42751085999,911216,1271.6,26,5389830.93071,13413019.0,13413019.0,708659000000,256896,293.93425872,941566016
387,2017-07-06,2608.56,42863758795,912536,1274.4,28,5248920.31814,22323082.5,22323082.5,708659000000,235183,225.82080685,761956992
388,2017-07-07,2518.66,41391217675,956272,1260.1,26,5002326.74615,13227322.5,13227322.5,708659000000,229362,241.52060511,917411968
389,2017-07-08,2571.34,42262222823,937071,1263.7,25,5213692.665,8466098.0,8466098.0,708659000000,243701,240.65571245,733329984
390,2017-07-09,2518.44,41397076604,846948,1263.7,23,5812562.76841,2211721.5,2211721.5,708659000000,217942,192.41183082,527856000
391,2017-07-10,2372.56,39005033499,752002,1263.7,29,4861416.13358,2269860.0,2269860.0,708659000000,185752,157.22803089,1111200000
392,2017-07-11,2337.79,38438497236,750511,1265.4,32,6939847.66895,21844023.0,21844023.0,708659000000,254534,205.57250621,1329760000
393,2017-07-12,2398.84,39447604438,895202,1268.9,32,6094383.99355,27541864.0,27541864.0,708659000000,269230,207.57617324,1117410048
394,2017-07-13,2357.9,38778935907,881616,1266.2,30,6235294.60611,35117923.5,35117923.5,708659000000,255769,222.35199706,835769984
395,2017-07-14,2233.34,36734255488,849274,1276.5,29,5530741.54328,37663648.5,37663648.5,708659000000,244062,210.79018124,882502976
396,2017-07-15,1998.86,32880721300,907047,1283.1,32,5559049.84407,39042720.0,39042720.0,804525000000,231468,215.37764419,993608000
397,2017-07-16,1929.82,31748939343,965660,1283.1,38,5079131.87192,24752684.5,24752684.5,804525000000,216403,378.35756847,1182870016
398,2017-07-17,2228.41,36665393517,845142,1283.1,37,6518885.788369999,26835082.5,26835082.5,804525000000,205572,166.92852306,1201760000
399,2017-07-18,2318.88,38158677672,947857,1291.2,38,5918988.32318,24647588.0,24647588.0,804525000000,232289,198.03657541,1512450048
400,2017-07-19,2273.43,37415031061,959489,1291.4,35,6598872.11706,37677261.0,37677261.0,804525000000,260297,224.51846967,1245100032
401,2017-07-20,2817.6,46376428080,936401,1294.8,41,5958981.4875300005,36423868.5,36423868.5,804525000000,253751,201.60223858,2249260032
402,2017-07-21,2667.76,43915296559,932131,1303.6,39,6478892.62402,37860618.5,37860618.5,804525000000,230917,229.27219537,1489449984
403,2017-07-22,2810.12,46264340367,976520,1303.1,32,6158947.30925,18541810.0,18541810.0,804525000000,269822,249.73969757,1177129984
404,2017-07-23,2730.4,44957775265,915984,1303.1,30,6398906.29533,4324401.0,4324401.0,804525000000,215060,171.03691992,1072840000
405,2017-07-24,2754.86,45366654309,689370,1303.1,34,6878824.26748,2653588.5,2653588.5,804525000000,183292,125.37693822,866473984
406,2017-07-25,2576.48,42433788244,896406,1300.9,38,7118783.25355,9464210.5,9464210.5,804525000000,244135,166.96352984,1460089984
407,2017-07-26,2529.45,41663929265,935000,1298.9,34,5918988.32318,20323945.5,20323945.5,804525000000,242508,168.49293292,937404032
408,2017-07-27,2671.78,44013533097,962676,1310.2,33,5878995.15883,3293980.0,3293980.0,804525000000,236540,167.53481996,789104000
409,2017-07-28,2809.01,46279316161,928493,1319.1,39,6585327.4853,1910391.5,1910391.5,860222000000,225642,166.27056958,1380099968
410,2017-07-29,2726.45,44924534585,916858,1317.2,32,6414280.01815,7952127.75,7952127.75,860222000000,249262,188.43132327,803745984
411,2017-07-30,2757.18,45435913868,871228,1317.2,30,6713613.085659999,4026682.0,4026682.0,860222000000,207954,156.46665323,705942976
412,2017-07-31,2875.34,47388334773,811324,1317.2,39,6285994.417780001,9335023.5,9335023.5,860222000000,194083,138.11682207,860574976
413,2017-08-01,2718.26,44804603885,926776,1323.0,82,6200470.68421,1141774.5,1141774.5,860222000000,221113,194.86886623,1324669952
414,2017-08-02,2710.67,44684649516,722671,1322.2,69,6371518.15136,11789032.0,11789032.0,860222000000,131517,75.94662047,1094950016
415,2017-08-03,2804.73,46239970790,880660,1318.3,44,6499803.75172,2120663.0,2120663.0,860222000000,214787,130.51485681,804796992
416,2017-08-04,2895.89,47749461443,868865,1308.4,41,5901137.6167,24416995.0,24416995.0,860222000000,212494,124.10595421,1002120000
417,2017-08-05,3252.91,53643452554,924135,1308.7,54,7654374.15499,16428915.0,16428915.0,860222000000,234435,113.47123621,1945699968
418,2017-08-06,3213.94,53006426108,865869,1308.7,43,7568850.421410001,3001782.5,3001782.5,860222000000,235282,113.56678695,1105030016
419,2017-08-07,3378.94,55734179251,804025,1308.7,52,5986661.350269999,36480594.5,36480594.5,860222000000,203225,87.90639938,1482279936
420,2017-08-08,3419.94,56417337745,943680,1307.1,54,6542565.6185099995,39264431.5,39264431.5,860222000000,250460,121.82649183,1752760064
421,2017-08-09,3342.47,55145196472,980759,1323.7,49,7012946.15317,38840122.5,38840122.5,860222000000,275658,159.06311046,1468960000
422,2017-08-10,3381.28,55791120000,954238,1334.5,44,6333394.737369999,42420792.5,42420792.5,923233000000,257587,157.95191308,1515110016
423,2017-08-11,3650.62,60241844923,981214,1338.1,50,6149818.07831,53544061.0,53544061.0,923233000000,262547,193.18600285,2021190016
424,2017-08-12,3884.71,64111163866,953436,1334.8,59,6608759.72595,10385273.0,10385273.0,923233000000,279050,234.94470226,2219589888
425,2017-08-13,4073.26,67230528989,992788,1334.8,76,6195712.24308,17910292.0,17910292.0,923233000000,261787,210.75240215,3159089920
426,2017-08-14,4325.13,71394704654,985007,1334.8,83,6792336.385,25994460.0,25994460.0,923233000000,264085,189.71104645,2463089920
427,2017-08-15,4181.93,69038855081,953352,1324.2,82,5966241.41926,50044160.0,50044160.0,923233000000,258580,249.18827382,3258050048
428,2017-08-16,4376.63,72260183303,970809,1327.5,66,6975913.04406,68565703.0,68565703.0,923233000000,309307,350.45038263,2272039936
429,2017-08-17,4331.69,71527949443,973641,1336.8,63,5966241.41926,50027482.5,50027482.5,923233000000,276650,347.52500864,2553359872
430,2017-08-18,4160.62,68710871037,978675,1335.7,63,8215055.49267,52469574.0,52469574.0,923233000000,348663,365.31634907,2941710080
431,2017-08-19,4193.7,69265141208,959973,1341.0,58,6838230.549769999,51942348.5,51942348.5,923233000000,306634,337.96192313,2975820032
432,2017-08-20,4087.66,67520478838,966474,1341.0,50,6930018.87929,36724596.0,36724596.0,923233000000,265055,265.91179874,2109769984
433,2017-08-21,4001.74,66106992038,961367,1341.0,48,5966241.41926,44527945.5,44527945.5,923233000000,215938,208.98199629,2800890112
434,2017-08-22,4100.52,67743202431,976478,1335.5,60,5277828.94781,72831714.5,72831714.5,923233000000,238261,297.96496476,3764239872
435,2017-08-23,4151.52,68593954170,998196,1338.8,53,4084580.66396,78885859.0,78885859.0,923233000000,196535,334.18474511,2369819904
436,2017-08-24,4334.68,71625870868,986505,1336.0,52,7297172.1974,83609290.0,83609290.0,923233000000,313947,541.97068152,2037750016
437,2017-08-25,4371.6,72241507489,923254,1341.9,52,4459277.50765,102234720.0,102234720.0,888172000000,201512,385.99923422,1727970048
438,2017-08-26,4352.4,71929882019,944221,1359.7,45,4459277.50765,96967476.0,96967476.0,888172000000,212966,425.81587924,1511609984
439,2017-08-27,4382.88,72441993792,998402,1359.7,37,4635882.55746,67523438.0,67523438.0,888172000000,224767,425.31312205,1537459968
440,2017-08-28,4382.66,72445588933,990803,1359.7,43,6843445.68006,67044993.5,67044993.5,888172000000,257353,358.84272769999995,1959330048
441,2017-08-29,4579.02,75699786263,981322,1362.8,54,5695512.85631,65930504.5,65930504.5,888172000000,227732,378.17846684,2486080000
442,2017-08-30,4565.3,75482724984,998177,1358.0,53,6578538.10535,15045459.0,15045459.0,888172000000,277116,461.76014165,1937849984
